species	Basigaster proportion	Central ampulla length (um)	Central ampulla width (um)	Cnidoband depth (um)	Cnidoband desmoneme length (um)	Cnidoband desmoneme length (um)	Cnidoband desmoneme number	Cnidoband desmoneme width (um)	Cnidoband desmoneme width (um)	Cnidoband length (um)	Cnidoband width (um)	Cnidosac length (um)	Cnidosac width (um)	Colony length (cm)	Depth (m)	Desmoneme length (um)	Desmoneme/Rhopaloneme ratio	Desmonemes/Rhopalonemes	Desmoneme width (um)	Distal ampulla length (um)	Distal ampulla sidebranch length (um)	Distal ampulla width (um)	Distal haploneme length (um)	Distal haploneme width (um)	Distal heteroneme length (um)	Distal heteroneme width (um)	Fishing cycle frequency (times/hour)	Gastrozooid length (fixed) (mm)	Gastrozooid length (mm)	Haploneme length (um)	Haploneme number	Haploneme width (um)	Heteroneme length (um)	Heteroneme number	Heteroneme shaft length (um)	Heteroneme shaft width (um)	Heteroneme spine length (um)	Heteroneme thread width (um)	Heteroneme tubule width (um)	Heteroneme volume (ul)	Heteroneme width (um)	Heteronme width (um)	Involucrum cover (%)	Involucrum cover (coils)	Involucrum length (um)	Involucrum pigment dots fluorescence peak (nm)	Involucrum pigment stripe fluorescence peak (nm)	Nauplii ingestion rate	Nematocysts per battery	Night/Day feeding rate	Normal swimming speed (cm/s)	Number of coils	Number of gastrozooid rows per spiral	Number of gastrozooids	Number of haploneme rows	Number of hepatic stripes	Number of heteroneme filament swellings	Number of heteroneme rows (distal cnidoband) per side	Number of heteroneme rows (middle cnidoband) per side	Number of heteroneme rows (middle-distal cnidoband) per side	Number of heteroneme rows per side	Number of heteroneme rows per side (distal cnidoband)	Number of heteroneme rows per side (proximal cnidoband)	Number of heteroneme rows (proximal cnidoband) per side	Number of rhopaloneme rows	Number of serial patches	Number of terminal filaments	Number of zags	Number of zags with heteronemes	Pedicle length (um)	Pedicle width (um)	Peduncle/Gastrozooid length	Peduncle length (mm)	Platelet length	Prey length (mm)	Prey number/Gastrozooid number (%)	Proximal haploneme length (um)	Proximal haploneme width (um)	Proximal heteroneme length (um)	Relative chaetognath consumption	Relative copepod consumption	Relative decapod consumption	Relative fish consumption	Relative gelatinous consumption	Relative mollusc consumption	Rhopaloneme length (um)	Rhopaloneme tubule length (um)	Rhopaloneme width (um)	Sinker nematocyst length (um)	Sinker nematocyst width (um)	Sinker platelet width (um)	Surface salinity (%)	Surface temperature	Tentacle length (mm)	Tentacle number	Tentilla per tentacle	Terminal filament desmoneme length (um)	Terminal filament desmoneme width (um)	Terminal filament length (um)	Terminal filament nematocyst length (um)	Terminal filament nematocyst width (um)	Terminal filament number	Terminal filament rhopaloneme length (um)	Terminal filament rhopaloneme width (um)	Terminal sinker length (um)
Abyla trigona	?	?	?	120	?	?	?	?	?	396	248	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	4.2	38.5	400	12.25	153	?	?	?	?	?	?	18.02	15	?	?	?	?	?	?	?	413	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	40	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	15	5	?	?	?	?
Abylopsis tetragona	?	?	?	70	?	?	?	?	?	891	198	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	38.75	800	11.25	?	?	?	?	?	?	?	?	15	?	?	?	?	?	?	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	19	4	?	?	?	?
Abylopsis ?tetragona	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	25	?	?	20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.6	?	8.3	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Agalma elegans	?	?	?	120	?	?	?	?	?	396	120	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	35	17000	5	?	?	?	?	?	?	?	50.53	?	?	?	?	?	?	?	?	17030	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Agalma okeni	?	?	?	680	?	?	?	?	?	1164	680	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	47.5	20500	6	?	?	?	?	?	?	?	40.69	?	?	?	?	?	?	?	?	20620	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	16.7	?	?	?	?	?	?	100	?	?	?	?	?	?	?	?	?	?	?	5	?	?	?	?	7	7	?	?	?	?
Angelopsis globosa	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2553	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Apolemia lanosa	?	?	?	?	?	?	?	?	?	?	?	?	?	200	1156.6666666667	?	?	?	?	?	?	?	?	?	?	?	?	?	12	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Apolemia rubriversa	?	?	?	?	?	?	?	?	?	?	?	?	?	120	633.9130434783	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Apolemia uvaria	?	?	?	?	?	?	?	?	?	?	?	?	?	2000	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	20.3333333333	?	?	?	?	2.3	?	?	8.6666666667	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	48.8	?	?	?	41	14	38	0.7	13.3	6.7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Archangelopsis typica	?	?	?	?	?	?	?	?	?	?	?	?	?	?	106	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Athorybia lucida	?	?	?	?	?	?	?	?	?	1200	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	1	?	?	?	2	1.25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	36.825	24.4	?	?	?	?	?	1000	?	?	?	?	?	?
Athorybia rosacea	?	?	?	60	?	?	?	?	?	102	60	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	32.5	800	7.5	65	?	?	?	?	?	?	17.22	22.5	?	?	?	?	?	?	?	850	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	7.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	120	?	?	?	6	3.75	?	?	?	?
Bargmannia amoena	?	?	?	?	?	?	?	?	?	5000	?	?	?	?	865.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	16	?	12.5	135	?	?	?	?	?	?	?	105	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	10	?	?	?	?	?	?	?	?	?
Bargmannia elongata	?	?	?	?	?	?	?	?	?	?	?	?	?	?	786.6666666667	?	?	?	?	?	?	?	?	?	?	?	?	?	?	12.25	?	9.75	120	4.5	?	?	?	?	?	?	80	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Bassia bassensis	?	?	?	70	?	?	?	?	?	315	100	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	25	400	8.75	75.5	8	?	?	?	?	?	7.74	14	?	?	?	?	?	?	?	408	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	11.5	6	?	?	?	?
Bathyphysa sibogae	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	13.5	?	13.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Chelophyes appendiculata	?	?	?	36	?	?	?	?	?	150	52	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100	?	?	13.75	450	5.5	66	6	?	?	?	?	?	1.24	6	?	?	?	?	?	?	?	456	1.75	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	9.5	4.5	?	?	?	?
Clausophyes galeata	?	?	?	?	?	?	?	?	?	140	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Cordagalma ordinatum	?	?	?	32.5	?	?	?	?	?	45	32.5	40	?	30	?	?	?	?	?	?	?	?	5.5	5	?	?	?	?	2	14.8333333333	9	52.6666666667	20	5	12.5	6	?	?	?	1.84	10.5	?	?	?	?	?	?	1	157	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	16	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	3	4.5	?	?	?	?
Cordagalma tottoni	0.25	?	?	?	?	?	?	?	?	?	150	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Desmophyes annectens	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	13.5	?	?	10	?	?	?	?	?	?	?	?	?	?	37.5	?	?	140	?	?	?	?	?	?	?	9.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	12.5	?	4.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Desmophyes villafrancae	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	4.25	?	?	4.25	?	?	?	?	?	?	?	?	?	?	20	?	?	32.5	6	20	?	?	?	?	?	8.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	7.5	22.5	1.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Dimophyes arctica	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	30	?	?	198	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Diphyes dispar	?	?	?	42	?	?	?	?	?	270	78	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	17.5	250	9.75	97.5	12	?	?	?	?	?	6.46	11	?	?	?	?	?	?	?	262	2.41	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	15	9	?	?	?	?
Erenna cornuta	?	?	?	?	?	?	?	?	?	17000	?	?	?	?	896	?	?	?	?	?	?	?	?	?	?	?	?	?	?	67.6666666667	?	20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Erenna laciniata	?	?	?	?	?	?	?	?	?	?	?	?	?	?	832	?	?	?	?	?	?	?	?	?	?	?	?	?	?	128	?	27	36	?	?	?	?	?	?	?	16.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	25	?	?	?	?	?	?	?	?	?	?
Erenna richardi	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2345.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	78.3333333333	?	22.3333333333	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	10000	?	?	?	?	?	?
Forskalia asymmetrica	?	?	?	?	?	?	?	?	?	?	?	?	?	?	432	?	?	?	?	?	?	?	?	?	?	?	?	?	4.6	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	6	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	4.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Forskalia contorta	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Forskalia edwardsi	?	?	?	180	?	?	?	?	?	420	180	?	?	?	?	?	?	0.5	?	?	?	?	?	?	?	?	?	?	?	30	3000	5.5	38	?	?	?	?	?	?	9.94	22.5	?	?	?	?	?	?	?	3030	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	13	5	?	?	?	?
Forskalia ?edwardsi	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	5	?	?	5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	12	?	3.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Forskalia formosa	0.5	?	?	?	?	?	?	?	?	?	?	?	?	?	416	?	?	?	?	?	?	?	?	?	?	?	?	?	4.4	25	?	5	45	?	?	?	?	?	?	?	22	?	?	?	?	?	?	?	?	?	?	2.5	4	?	?	16	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Forskalia saccula	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	4	?	7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Forskalia tholoides	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	6.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Frillagalma vityazi	?	550	250	?	?	?	?	?	?	?	?	250	173	?	788.6	?	?	?	?	1100	400	250	?	?	?	?	?	?	?	70	21	7	120	3	?	?	?	?	?	?	50	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Halistemma cupulifera	?	?	?	?	?	?	?	?	?	?	?	?	?	?	234.3333333333	25	?	?	10.5	?	?	?	?	?	?	?	?	?	?	48	?	6.5	67	50	?	?	?	?	?	?	26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	1	?	?	?	1	?	?	?	?	?	?	12	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
