species	Basigaster proportion	Central ampulla length (um)	Central ampulla width (um)	Cnidoband depth (um)	Cnidoband desmoneme length (um)	Cnidoband desmoneme length (um)	Cnidoband desmoneme number	Cnidoband desmoneme width (um)	Cnidoband desmoneme width (um)	Cnidoband length (um)	Cnidoband width (um)	Cnidosac length (um)	Cnidosac width (um)	Colony length (cm)	Depth (m)	Desmoneme length (um)	Desmoneme/Rhopaloneme ratio	Desmonemes/Rhopalonemes	Desmoneme width (um)	Distal ampulla length (um)	Distal ampulla sidebranch length (um)	Distal ampulla width (um)	Distal haploneme length (um)	Distal haploneme width (um)	Distal heteroneme length (um)	Distal heteroneme width (um)	Fishing cycle frequency (times/hour)	Gastrozooid length (fixed) (mm)	Gastrozooid length (mm)	Haploneme length (um)	Haploneme number	Haploneme width (um)	Heteroneme length (um)	Heteroneme number	Heteroneme shaft length (um)	Heteroneme shaft width (um)	Heteroneme spine length (um)	Heteroneme thread width (um)	Heteroneme tubule width (um)	Heteroneme volume (ul)	Heteroneme width (um)	Heteronme width (um)	Involucrum cover (%)	Involucrum cover (coils)	Involucrum length (um)	Involucrum pigment dots fluorescence peak (nm)	Involucrum pigment stripe fluorescence peak (nm)	Nauplii ingestion rate	Nematocysts per battery	Night/Day feeding rate	Normal swimming speed (cm/s)	Number of coils	Number of gastrozooid rows per spiral	Number of gastrozooids	Number of haploneme rows	Number of hepatic stripes	Number of heteroneme filament swellings	Number of heteroneme rows (distal cnidoband) per side	Number of heteroneme rows (middle cnidoband) per side	Number of heteroneme rows (middle-distal cnidoband) per side	Number of heteroneme rows per side	Number of heteroneme rows per side (distal cnidoband)	Number of heteroneme rows per side (proximal cnidoband)	Number of heteroneme rows (proximal cnidoband) per side	Number of rhopaloneme rows	Number of serial patches	Number of terminal filaments	Number of zags	Number of zags with heteronemes	Pedicle length (um)	Pedicle width (um)	Peduncle/Gastrozooid length	Peduncle length (mm)	Platelet length	Prey length (mm)	Prey number/Gastrozooid number (%)	Proximal haploneme length (um)	Proximal haploneme width (um)	Proximal heteroneme length (um)	Relative chaetognath consumption	Relative copepod consumption	Relative decapod consumption	Relative fish consumption	Relative gelatinous consumption	Relative mollusc consumption	Rhopaloneme length (um)	Rhopaloneme tubule length (um)	Rhopaloneme width (um)	Sinker nematocyst length (um)	Sinker nematocyst width (um)	Sinker platelet width (um)	Surface salinity (%)	Surface temperature	Tentacle length (mm)	Tentacle number	Tentilla per tentacle	Terminal filament desmoneme length (um)	Terminal filament desmoneme width (um)	Terminal filament length (um)	Terminal filament nematocyst length (um)	Terminal filament nematocyst width (um)	Terminal filament number	Terminal filament rhopaloneme length (um)	Terminal filament rhopaloneme width (um)	Terminal sinker length (um)
Halistemma foliacea	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	22	?	?	10	?	?	?	?	?	?	?	?	?	?	47	?	9	70	?	?	?	?	?	?	?	25	?	?	?	?	?	?	?	?	?	?	6.5	?	?	?	?	?	?	?	?	?	0	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21	?	9	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100
Halistemma maculatum	?	?	?	?	?	?	?	?	?	?	?	?	?	?	702	22	?	?	9	?	?	?	?	?	?	?	?	?	?	?	?	?	68	?	?	?	?	?	?	?	25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	18.5	?	9	14	9	16	?	?	?	?	?	?	?	?	?	?	?	?	?	180
Halistemma rubrum	?	?	?	?	?	?	?	?	?	?	?	?	?	?	426.125	14	?	?	8	?	?	?	?	?	?	?	?	?	?	50	?	8	56	?	?	?	?	?	?	?	17	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	1	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	10	?	13	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Halistemma striata	?	?	?	?	?	?	?	?	?	?	?	?	?	?	737	25	?	?	10.5	?	?	?	?	?	?	?	?	?	?	81	?	12.5	92	?	?	?	?	?	?	?	40	?	?	1.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	31	?	11	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Halistemma transliratum	?	?	?	?	?	?	?	?	?	?	?	?	?	?	556.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Hippopodius hippopus	?	?	?	46	?	?	?	?	?	96	96	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	26	200	5.5	?	8.5	?	?	?	?	?	5.32	17	?	?	?	?	?	?	?	210	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Lilyopsis medusa	?	?	?	?	?	15	?	?	9	414	?	?	?	?	?	9	?	?	5	?	?	?	?	?	?	?	?	?	1.1	30	?	5	80	?	75	5	15	?	3	?	13	?	?	?	?	?	?	?	?	?	?	?	?	?	7	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	15	45	5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Lychnagalma utricularia	?	4181.25	1462.5	?	?	?	?	?	?	?	?	2343.75	1218.75	?	629.3333333333	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	9.25	?	?	?	?	?	?	?	?	2	?	?	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Marrus antarcticus	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	3	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?
Marrus claudanielis	0.25	?	?	?	?	?	?	?	?	3000	?	?	?	21	938.4	25	?	?	14	?	?	?	?	?	?	?	?	?	?	125	?	28	65	?	?	?	?	?	?	?	?	9	?	?	?	?	?	?	?	?	?	9	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	12	?	12	?	?	?	?	?	?	30	?	?	?	?	?	?	?	?	?	?
Marrus orthocanna	?	?	?	100	?	?	?	?	?	?	100	?	?	45	50	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	75	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?
Muggiaea atlantica	?	?	?	30	?	?	?	?	?	120	52	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	12	300	5	36	6	?	?	?	?	?	0.68	6	?	?	?	?	?	?	?	306	3.45	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	20	?	?	?	6	3	?	?	?	?
Nanomia bijuga	?	?	?	240	?	?	?	?	?	445	248	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	22.5	4500	5.5	32	?	?	?	?	?	?	4.29	16	?	?	?	?	?	?	?	4535	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	13	?	?	?	?	11	4.5	?	?	?	?
Nanomia cara	?	?	?	680	?	?	?	?	?	1400	680	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	72.5	14000	12.5	62.5	?	?	?	?	?	?	?	22.5	?	?	?	?	?	?	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	5400	?	?	?	?	?	15	10	?	?	?	?
Nectadamas diomedeae	?	?	?	?	?	?	?	?	?	350	?	?	?	?	?	?	?	?	?	?	?	?	?	?	27	19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1100	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Nectadamas richardi	?	?	?	?	?	?	?	?	?	?	?	?	?	?	915	20	?	?	10	?	?	?	?	?	?	?	?	?	?	?	?	?	90	?	?	?	?	?	?	?	15	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	30	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Nectopyramis natans	?	?	?	?	?	?	?	?	?	200	?	?	?	?	?	16	?	?	13	?	?	?	?	?	?	?	?	?	?	50	?	10	93	?	?	?	?	?	?	?	21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Nectopyramis thetys	?	?	?	?	?	?	?	?	?	400	?	?	?	?	?	16	?	?	13	?	?	?	?	?	?	?	?	?	?	48	?	8	80	?	?	?	?	?	?	?	21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	22	?	5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Paraerenna emilyae	?	?	?	?	?	?	?	?	?	?	?	?	?	?	823	?	?	?	?	?	?	?	?	?	?	?	?	7.5	?	55.6666666667	?	15.6666666667	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Physalia physalis	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.753	?	21.061	23	?	?	?	?	?	?	?	19.2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	8000	?	?	?	?	?	?	?	?	?	?	?
Physophora gilmeri	?	?	?	?	?	?	?	?	?	?	?	1000	?	?	488	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	93	?	?	?	?	?	?	?	30	?	?	?	?	?	?	?	?	?	?	6.5	?	?	?	12	?	?	?	?	?	0	1	?	?	?	?	?	?	?	100	?	2.2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Physophora hydrostatica	?	?	?	390	?	?	?	?	?	1260	390	2000	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	32.5	?	6.2	109	?	?	?	?	?	?	?	29	?	?	?	?	?	?	?	?	?	7	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	6000	300	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Physophora ?hydrostatica	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	180	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Prayola tottoni	?	?	?	?	?	?	15	?	?	?	?	?	?	25	?	14	?	?	7.5	?	?	?	?	?	?	?	?	?	?	?	?	?	35	4	26.5	12	?	?	?	?	22.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	11	35	3.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Pyrostephos vanhoeffeni	?	?	?	?	6.5	?	?	6.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	40	?	?	?	?	?	?	?	28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Resomia convoluta	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	3.2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Resomia dunni	?	?	?	?	?	?	?	?	?	?	?	?	?	?	966.7333333333	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	280	200	300	?	?	?	?	?	45	?	100	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	10	?	?	?	?	?	?	30	13	?
Resomia ornicephala	?	?	?	?	?	?	?	?	?	?	?	?	?	?	222.1929824561	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	75	?	?	?	?	?	?	?	19	?	?	?	?	536	518	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Resomia persica	?	?	?	?	?	?	?	?	?	?	?	?	?	?	672.2	?	0.25	?	?	?	?	?	?	?	?	?	?	?	?	55	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	3	2	?	?	?	2	?	?	?	3.25	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	3	?	30	10	?	?	?	?	?	?	?
Resomia similis	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	3	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Rhizophysa eysenhardti	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	20	?	20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Rhizophysa filiformis	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	22.5	?	22.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	7.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Rosacea cymbiformis	?	?	?	50	?	?	?	?	?	255	120	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	26.6666666667	400	6.5	71	30	?	?	?	?	?	2.25	8.25	?	?	?	?	?	?	?	430	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100	?	?	?	?	13.5	?	3.5	?	?	?	?	?	?	57	?	?	?	?	8.8	6.2	?	?	?	?
Rosacea flaccida	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	30	?	5	75	30	?	?	?	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	15	?	3	?	?	?	35.8333333333	23.28	?	?	?	?	?	?	?	?	?	?	?	?
Rosacea limbata	?	?	?	?	?	?	?	?	?	?	?	?	?	?	146	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	110	24	?	?	?	?	?	?	7.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	25	?	5	?	?	?	?	?	?	59	?	?	?	?	?	?	?	?	?	?
Rosacea plicata	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	50	?	9	120	36	?	?	?	?	?	?	10	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	30	?	5.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Rosacea repanda	?	?	?	?	?	10.5	?	?	10.5	?	?	?	?	?	482.625	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	8	105	24	?	?	?	?	?	?	6.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	5	?	?	?	?	?	?	4	?	?	?	?	?	?	?	?	?	?
Sphaeronectes christiansonae	?	?	?	?	?	?	?	?	?	100	?	?	?	?	674	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	48.6	4	?	?	?	?	?	?	5.7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Sphaeronectes haddocki	0.25	?	?	?	?	?	?	?	?	150	?	?	?	?	412.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	64.5	4	?	?	?	?	?	?	10	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Sphaeronectes irregularis	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	4	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Sphaeronectes koellikeri	?	?	?	18	?	?	?	?	?	48	26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	9.5	50	3.5	36	4	?	?	?	?	?	0.92	7	?	?	?	?	?	?	?	54	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	3.5	2.25	?	?	?	?
Sphaeronectes tiburonae	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1896	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Steleophysema aurophora	?	?	?	?	?	?	?	?	?	?	?	?	?	?	405	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Stephalia bathyphysa	?	?	?	?	?	?	?	?	?	?	?	?	?	?	503	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Stephalia dilata	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1158	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Stephanomia amphitridis	0.33	?	?	?	?	?	?	?	?	?	?	?	?	500	1299.8666666667	62	?	?	20	?	?	?	?	?	?	?	?	?	30	?	?	?	175	?	?	?	?	?	?	?	50	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	2	?	3	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	80	?	45	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Stephanophyes superba	?	?	?	84	?	?	?	?	?	1500	60	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	34	2000	11	111	?	?	?	?	?	?	9.82	13	?	?	?	?	?	?	?	2050	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	22.5	9.5	?	?	?	?
Sulculeolaria monoica	?	?	?	30	?	?	?	?	?	168	66	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	17.5	?	7.75	60	8	?	?	?	?	?	?	10	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	12.5	5	?	?	?	?
Sulculeolaria quadrivalvis	?	?	?	30	?	?	?	?	?	114	66	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	16.25	200	7.25	47.5	8	?	?	?	?	?	1.4	7.5	?	?	?	?	?	?	?	208	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	7.5	5	?	?	?	?